districtid,timeid,cases
AP_Anantapur,1,157250
AP_Chittoor,1,239229
AP_East Godavari,1,286877
AP_Guntur,1,173171
AP_Krishna,1,114473
AP_Kurnool,1,123854
AP_Prakasam,1,134294
AP_S.P.S. Nellore,1,141112
AP_Srikakulam,1,122217
AP_Visakhapatnam,1,155293
AP_West Godavari,1,175079
AP_Y.S.R. Kadapa,1,113061
AR_Lohit,1,2764
BR_Arwal,1,7381
BR_Aurangabad,1,20011
BR_Banka,1,7379
BR_Begusarai,1,27186
BR_Bhagalpur,1,25834
BR_Bhojpur,1,10188
BR_Buxar,1,9248
BR_East Champaran,1,19010
BR_Gaya,1,33944
BR_Gopalganj,1,16676
BR_Jehanabad,1,10775
BR_Kaimur,1,4984
BR_Lakhisarai,1,7773
BR_Madhepura,1,12538
BR_Munger,1,15104
BR_Nalanda,1,23430
BR_Nawada,1,10351
BR_Patna,1,146908
BR_Rohtas,1,13972
BR_Saran,1,23272
BR_Siwan,1,15195
BR_Vaishali,1,19821
CH_Chandigarh,1,65121
CT_Bilaspur,1,65544
CT_Durg,1,96706
CT_Korba,1,54694
CT_Raipur,1,157886
CT_Rajnandgaon,1,56030
DL_Delhi,1,1437959
GJ_Ahmedabad,1,238120
GJ_Anand,1,9627
GJ_Aravalli,1,5186
GJ_Banaskantha,1,13631
GJ_Bharuch,1,11426
GJ_Bhavnagar,1,21428
GJ_Botad,1,2218
GJ_Chhota Udaipur,1,3395
GJ_Dahod,1,9955
GJ_Dang,1,864
GJ_Gandhinagar,1,20747
GJ_Gir Somnath,1,8558
GJ_Jamnagar,1,34957
GJ_Kheda,1,10422
GJ_Kutch,1,12599
GJ_Mahisagar,1,8194
GJ_Mehsana,1,24415
GJ_Morbi,1,6502
GJ_Narmada,1,5953
GJ_Navsari,1,7158
GJ_Panchmahal,1,11770
GJ_Patan,1,11624
GJ_Porbandar,1,3481
GJ_Rajkot,1,57935
GJ_Sabarkantha,1,9315
GJ_Surat,1,143568
GJ_Surendranagar,1,8121
GJ_Tapi,1,4439
GJ_Vadodara,1,78017
GJ_Valsad,1,6245
HP_Chamba,1,13500
HP_Hamirpur,1,15401
HP_Kangra,1,47865
HP_Sirmaur,1,15440
HP_Solan,1,22619
HP_Una,1,13576
HR_Ambala,1,30114
HR_Bhiwani,1,22404
HR_Charkhi Dadri,1,5070
HR_Faridabad,1,99836
HR_Fatehabad,1,17871
HR_Gurugram,1,181096
HR_Hisar,1,53980
HR_Italians,1,14
HR_Jind,1,21204
HR_Kaithal,1,11235
HR_Karnal,1,40022
HR_Kurukshetra,1,22128
HR_Nuh,1,5011
HR_Palwal,1,11018
HR_Panchkula,1,30688
HR_Panipat,1,31139
