districtid,timeid,cases
AP_Anantapur,1,0
AP_Anantapur,2,0
AP_Anantapur,3,0
AP_Anantapur,4,0
AP_Anantapur,5,0
AP_Anantapur,6,0
AP_Anantapur,7,71
AP_Anantapur,8,31
AP_Anantapur,9,20
AP_Anantapur,10,14
AP_Anantapur,11,73
AP_Anantapur,12,65
AP_Anantapur,13,144
AP_Anantapur,14,371
AP_Anantapur,15,531
AP_Anantapur,16,779
AP_Anantapur,17,1062
AP_Anantapur,18,1343
AP_Anantapur,19,4485
AP_Anantapur,20,6838
AP_Anantapur,21,7422
AP_Anantapur,22,5698
AP_Anantapur,23,5380
AP_Anantapur,24,5133
AP_Anantapur,25,5087
AP_Anantapur,26,4238
AP_Anantapur,27,3513
AP_Anantapur,28,3431
AP_Anantapur,29,2594
AP_Anantapur,30,2313
AP_Anantapur,31,1632
AP_Anantapur,32,1322
AP_Anantapur,33,1016
AP_Anantapur,34,863
AP_Anantapur,35,634
AP_Anantapur,36,325
AP_Anantapur,37,226
AP_Anantapur,38,171
AP_Anantapur,39,164
AP_Anantapur,40,132
AP_Anantapur,41,127
AP_Anantapur,42,126
AP_Anantapur,43,116
AP_Anantapur,44,63
AP_Anantapur,45,51
AP_Anantapur,46,37
AP_Anantapur,47,32
AP_Anantapur,48,16
AP_Anantapur,49,29
AP_Anantapur,50,35
AP_Anantapur,51,48
AP_Anantapur,52,47
AP_Anantapur,53,98
AP_Anantapur,54,268
AP_Anantapur,55,331
AP_Anantapur,56,786
AP_Anantapur,57,1817
AP_Anantapur,58,4641
AP_Anantapur,59,8625
AP_Anantapur,60,12324
AP_Anantapur,61,14123
AP_Anantapur,62,15987
AP_Anantapur,63,9691
AP_Anantapur,64,7126
AP_Anantapur,65,5562
AP_Anantapur,66,2420
AP_Anantapur,67,1701
AP_Anantapur,68,980
AP_Anantapur,69,654
AP_Anantapur,70,498
AP_Anantapur,71,457
AP_Anantapur,72,335
AP_Anantapur,73,264
AP_Anantapur,74,235
AP_Anantapur,75,136
AP_Anantapur,76,161
AP_Anantapur,77,165
AP_Chittoor,1,0
AP_Chittoor,2,0
AP_Chittoor,3,0
AP_Chittoor,4,0
AP_Chittoor,5,0
AP_Chittoor,6,0
AP_Chittoor,7,80
AP_Chittoor,8,16
AP_Chittoor,9,77
AP_Chittoor,10,35
AP_Chittoor,11,45
AP_Chittoor,12,45
AP_Chittoor,13,52
AP_Chittoor,14,165
AP_Chittoor,15,294
AP_Chittoor,16,441
AP_Chittoor,17,1259
AP_Chittoor,18,1698
AP_Chittoor,19,2662
AP_Chittoor,20,4458
AP_Chittoor,21,4922
AP_Chittoor,22,6229
AP_Chittoor,23,6418
AP_Chittoor,24,5869
AP_Chittoor,25,6869
AP_Chittoor,26,6807
AP_Chittoor,27,5618
AP_Chittoor,28,5184
AP_Chittoor,29,5255
AP_Chittoor,30,5111
AP_Chittoor,31,3588
AP_Chittoor,32,2897
AP_Chittoor,33,2248
AP_Chittoor,34,2095
AP_Chittoor,35,1538
AP_Chittoor,36,989
AP_Chittoor,37,615
AP_Chittoor,38,582
AP_Chittoor,39,581
AP_Chittoor,40,639
AP_Chittoor,41,450
AP_Chittoor,42,417
AP_Chittoor,43,305
AP_Chittoor,44,180
AP_Chittoor,45,195
AP_Chittoor,46,90
AP_Chittoor,47,93
AP_Chittoor,48,89
AP_Chittoor,49,95
AP_Chittoor,50,146
AP_Chittoor,51,203
AP_Chittoor,52,336
AP_Chittoor,53,369
AP_Chittoor,54,793
AP_Chittoor,55,1359
