stateid,populationleft,rateofvaccination,date
Meghalaya,1998089,5198.142857142857,03-09-2022
Bihar,78932074,317408.4285714286,20-04-2022
Andhra Pradesh,66064636,148431.14285714287,03-11-2022
Puducherry,631675,2849.1428571428573,24-03-2022
Puducherry,334011,2849.1428571428573,10-12-2021
Punjab,19337319,77846.28571428571,20-04-2022
Gujarat,30220384,394058.4285714286,30-10-2021
Assam,19775523,177262.2857142857,04-12-2021
Arunachal Pradesh,682750,1850.5714285714287,18-08-2022
Manipur,1681908,3286.285714285714,08-01-2023
Uttarakhand,4590435,67508.0,21-10-2021
Rajasthan,40016655,260147.85714285713,15-01-2022
Tamil Nadu,50398921,177212.0,26-05-2022
Himachal Pradesh,1913813,108652.85714285714,01-09-2021
Haryana,14859356,77112.14285714286,23-02-2022
Nagaland,1339123,1365.857142857143,21-04-2024
Kerala,16124370,266408.14285714284,14-10-2021
Karnataka,34432967,170487.42857142858,04-03-2022
Sikkim,109748,525.0,12-03-2022
Goa,345730,3632.8571428571427,18-11-2021
Maharashtra,75990985,234940.0,04-07-2022
Madhya Pradesh,40962172,350480.5714285714,09-12-2021
Chandigarh,321871,6710.0,01-10-2021
Chandigarh,321871,6710.0,01-10-2021
Lakshadweep,12795,118.14285714285714,01-12-2021
Lakshadweep,12795,118.14285714285714,01-12-2021
Uttar Pradesh,151564076,435700.0,28-07-2022
Odisha,26964561,183224.57142857142,09-01-2022
West Bengal,66460592,265210.0,22-04-2022
Chhattisgarh,16161687,37209.57142857143,23-10-2022
Jharkhand,24190213,77175.42857142857,24-06-2022
Tripura,1240220,4058.1428571428573,16-06-2022
Mizoram,437097,970.7142857142857,08-11-2022
