districtid,monthid,dose1,dose2
AN_Nicobars,1,360,0
AN_Nicobars,2,387,304
AN_Nicobars,3,5522,236
AN_Nicobars,4,2090,1365
AN_Nicobars,5,696,2
AN_Nicobars,6,9560,4962
AN_Nicobars,7,3481,1269
AN_North and Middle Andaman,1,1114,0
AN_North and Middle Andaman,2,1020,944
AN_North and Middle Andaman,3,17819,660
AN_North and Middle Andaman,4,10097,1664
AN_North and Middle Andaman,5,4220,24
AN_North and Middle Andaman,6,17211,21829
AN_North and Middle Andaman,7,17118,4247
AN_South Andaman,1,1866,104
AN_South Andaman,2,6975,1492
AN_South Andaman,3,26253,2583
AN_South Andaman,4,26532,5778
AN_South Andaman,5,13537,264
AN_South Andaman,6,34597,32724
AN_South Andaman,7,34097,17356
AP_Anantapur,1,17062,2210
AP_Anantapur,2,40107,11627
AP_Anantapur,3,242760,19514
AP_Anantapur,4,145138,138742
AP_Anantapur,5,259562,31186
AP_Anantapur,6,332364,127278
AP_Anantapur,7,381008,287385
AP_Chittoor,1,31542,1406
AP_Chittoor,2,57235,21421
AP_Chittoor,3,295939,29482
AP_Chittoor,4,140617,139320
AP_Chittoor,5,299662,46037
AP_Chittoor,6,344889,91024
AP_Chittoor,7,412832,322212
AP_East Godavari,1,41195,1461
AP_East Godavari,2,65770,25409
AP_East Godavari,3,277388,40371
AP_East Godavari,4,113682,138184
AP_East Godavari,5,461574,49718
AP_East Godavari,6,483399,128566
AP_East Godavari,7,486969,174094
AP_Guntur,1,25620,3327
AP_Guntur,2,54865,16462
AP_Guntur,3,259959,35042
AP_Guntur,4,158602,117649
AP_Guntur,5,381743,60232
AP_Guntur,6,472904,122809
AP_Guntur,7,431088,249454
AP_Krishna,1,26275,1445
AP_Krishna,2,52543,20545
AP_Krishna,3,284173,24986
AP_Krishna,4,135131,165430
AP_Krishna,5,443129,46213
AP_Krishna,6,376048,145908
AP_Krishna,7,455939,162880
AP_Kurnool,1,24490,2433
AP_Kurnool,2,31783,14008
AP_Kurnool,3,236201,19681
AP_Kurnool,4,97077,117798
AP_Kurnool,5,269017,25723
AP_Kurnool,6,298836,89139
AP_Kurnool,7,293353,226687
AP_Prakasam,1,22706,620
AP_Prakasam,2,29821,10697
AP_Prakasam,3,220336,23308
AP_Prakasam,4,105082,117108
AP_Prakasam,5,288550,43988
AP_Prakasam,6,338448,72415
AP_Prakasam,7,239035,255056
AP_S.P.S. Nellore,1,35241,3169
AP_S.P.S. Nellore,2,41913,21755
AP_S.P.S. Nellore,3,207303,33296
AP_S.P.S. Nellore,4,107900,120750
AP_S.P.S. Nellore,5,263828,22518
AP_S.P.S. Nellore,6,268104,163540
AP_S.P.S. Nellore,7,251314,167067
AP_Srikakulam,1,28124,2715
AP_Srikakulam,2,33171,18243
AP_Srikakulam,3,176438,17415
AP_Srikakulam,4,79529,76444
AP_Srikakulam,5,284229,17425
AP_Srikakulam,6,256183,88819
AP_Srikakulam,7,175460,117451
AP_Visakhapatnam,1,30831,2377
AP_Visakhapatnam,2,56059,22166
AP_Visakhapatnam,3,285003,33166
AP_Visakhapatnam,4,139272,129818
AP_Visakhapatnam,5,470799,46947
AP_Visakhapatnam,6,449459,120154
AP_Visakhapatnam,7,487122,281826
AP_Vizianagaram,1,16959,2355
AP_Vizianagaram,2,22909,10567
AP_Vizianagaram,3,161468,14895
AP_Vizianagaram,4,63939,71987
AP_Vizianagaram,5,228803,12033
AP_Vizianagaram,6,214722,50129
AP_Vizianagaram,7,218850,58931
AP_West Godavari,1,22292,1143
AP_West Godavari,2,49882,16621
AP_West Godavari,3,218351,35002
AP_West Godavari,4,102970,132115
AP_West Godavari,5,399410,32857
AP_West Godavari,6,492883,63075
AP_West Godavari,7,389602,156214
AP_Y.S.R. Kadapa,1,17593,2073
AP_Y.S.R. Kadapa,2,38126,10811
AP_Y.S.R. Kadapa,3,223820,23029
AP_Y.S.R. Kadapa,4,91349,115001
AP_Y.S.R. Kadapa,5,257799,32561
AP_Y.S.R. Kadapa,6,271169,89622
AP_Y.S.R. Kadapa,7,148716,125166
AR_Anjaw,1,440,48
AR_Anjaw,2,340,257
AR_Anjaw,3,1070,339
AR_Anjaw,4,1222,597
AR_Anjaw,5,2504,26
AR_Anjaw,6,4265,364
AR_Anjaw,7,1099,951
AR_Changlang,1,998,0
AR_Changlang,2,2394,840
AR_Changlang,3,7638,1450
AR_Changlang,4,7955,1970
AR_Changlang,5,16427,405
AR_Changlang,6,30392,5734
AR_Changlang,7,9926,6845
AR_Upper Dibang Valley,1,214,0
AR_Upper Dibang Valley,2,511,162
AR_Upper Dibang Valley,3,562,338
AR_Upper Dibang Valley,4,324,376
AR_Upper Dibang Valley,5,425,11
AR_Upper Dibang Valley,6,1450,148
AR_Upper Dibang Valley,7,429,199
AR_East Kameng,1,319,64
AR_East Kameng,2,650,214
AR_East Kameng,3,2585,543
AR_East Kameng,4,3055,1000
AR_East Kameng,5,5459,54
AR_East Kameng,6,6086,1668
AR_East Kameng,7,2469,2804
AR_East Siang,1,959,76
AR_East Siang,2,1810,918
AR_East Siang,3,8553,1762
AR_East Siang,4,6218,5714
AR_East Siang,5,6168,35
AR_East Siang,6,25571,3484
AR_East Siang,7,2074,4219
AR_Papum Pare,1,1808,79
AR_Papum Pare,2,1695,1233
AR_Papum Pare,3,8686,1830
AR_Papum Pare,4,17702,4452
AR_Papum Pare,5,31155,82
AR_Papum Pare,6,23902,8106
AR_Papum Pare,7,10369,13133
AR_Kamle,1,168,0
AR_Kamle,2,123,162
AR_Kamle,3,511,117
AR_Kamle,4,911,256
AR_Kamle,5,936,2
AR_Kamle,6,2161,322
AR_Kamle,7,1405,738
AR_Kra Daadi,1,220,0
AR_Kra Daadi,2,163,241
AR_Kra Daadi,3,812,61
AR_Kra Daadi,4,635,415
AR_Kra Daadi,5,1548,12
AR_Kra Daadi,6,1733,308
AR_Kra Daadi,7,727,736
AR_Kurung Kumey,1,467,0
AR_Kurung Kumey,2,348,305
AR_Kurung Kumey,3,2000,217
AR_Kurung Kumey,4,934,1415
AR_Kurung Kumey,5,1015,12
AR_Kurung Kumey,6,2406,407
AR_Kurung Kumey,7,1404,501
AR_Lepa Rada,1,791,79
AR_Lepa Rada,2,933,539
AR_Lepa Rada,3,2086,625
AR_Lepa Rada,4,1083,1270
AR_Lepa Rada,5,1836,8
AR_Lepa Rada,6,5302,1366
AR_Lepa Rada,7,935,1101
AR_Lohit,1,535,0
AR_Lohit,2,1378,396
AR_Lohit,3,2198,689
AR_Lohit,4,3036,911
AR_Lohit,5,4267,45
AR_Lohit,6,12866,2061
AR_Lohit,7,3682,2718
AR_Longding,1,512,64
AR_Longding,2,1077,220
AR_Longding,3,829,673
AR_Longding,4,1758,595
AR_Longding,5,4301,166
AR_Longding,6,7197,446
AR_Longding,7,2293,1110
AR_Lower Dibang Valley,1,225,0
AR_Lower Dibang Valley,2,1326,280
AR_Lower Dibang Valley,3,4021,1059
AR_Lower Dibang Valley,4,3359,1215
AR_Lower Dibang Valley,5,4132,32
AR_Lower Dibang Valley,6,13361,3419
AR_Lower Dibang Valley,7,3435,2216
AR_Lower Siang,1,296,117
AR_Lower Siang,2,443,177
AR_Lower Siang,3,1305,355
AR_Lower Siang,4,2429,438
AR_Lower Siang,5,2328,18
AR_Lower Siang,6,5917,1549
AR_Lower Siang,7,3037,1939
AR_Lower Subansiri,1,774,250
AR_Lower Subansiri,2,970,507
AR_Lower Subansiri,3,3709,850
AR_Lower Subansiri,4,2805,2450
AR_Lower Subansiri,5,5338,11
AR_Lower Subansiri,6,8177,1520
AR_Lower Subansiri,7,3083,2700
AR_Namsai,1,839,87
AR_Namsai,2,2337,784
AR_Namsai,3,3888,1211
AR_Namsai,4,7818,2430
AR_Namsai,5,8544,30
AR_Namsai,6,29282,3191
AR_Namsai,7,5182,4979
AR_Pakke Kessang,1,248,0
AR_Pakke Kessang,2,541,172
AR_Pakke Kessang,3,1150,412
AR_Pakke Kessang,4,1676,760
AR_Pakke Kessang,5,1181,68
AR_Pakke Kessang,6,1535,628
AR_Pakke Kessang,7,1350,1035
AR_Shi Yomi,1,225,0
AR_Shi Yomi,2,300,260
AR_Shi Yomi,3,1133,296
AR_Shi Yomi,4,655,871
AR_Shi Yomi,5,684,8
AR_Shi Yomi,6,2963,206
AR_Shi Yomi,7,771,688
AR_Siang,1,263,0
AR_Siang,2,421,199
AR_Siang,3,2737,249
AR_Siang,4,1249,1126
AR_Siang,5,1152,7
AR_Siang,6,6711,1674
AR_Siang,7,1382,1097
AR_Tawang,1,862,85
AR_Tawang,2,2215,748
AR_Tawang,3,3409,1269
AR_Tawang,4,3156,2130
AR_Tawang,5,6476,57
AR_Tawang,6,9105,2182
AR_Tawang,7,2501,2945
AR_Tirap,1,701,0
AR_Tirap,2,1856,596
AR_Tirap,3,1172,1090
AR_Tirap,4,1965,852
AR_Tirap,5,6444,78
AR_Tirap,6,14389,1078
AR_Tirap,7,2523,2007
AR_Upper Siang,1,523,94
AR_Upper Siang,2,464,386
AR_Upper Siang,3,3837,423
AR_Upper Siang,4,2168,1761
AR_Upper Siang,5,2808,14
AR_Upper Siang,6,5575,2031
AR_Upper Siang,7,2137,1772
AR_Upper Subansiri,1,252,12
AR_Upper Subansiri,2,606,130
AR_Upper Subansiri,3,3110,639
AR_Upper Subansiri,4,4894,2297
AR_Upper Subansiri,5,5483,61
AR_Upper Subansiri,6,4258,1252
AR_Upper Subansiri,7,4568,3016
AR_West Kameng,1,1116,304
AR_West Kameng,2,5197,636
AR_West Kameng,3,5710,2820
AR_West Kameng,4,3886,2919
AR_West Kameng,5,7893,130
AR_West Kameng,6,18990,3630
AR_West Kameng,7,7532,3473
AR_West Siang,1,1133,150
AR_West Siang,2,2081,868
AR_West Siang,3,5565,1258
AR_West Siang,4,3596,1837
AR_West Siang,5,5092,63
AR_West Siang,6,12888,5146
AR_West Siang,7,2313,3083
AS_Baksa,1,2194,65
AS_Baksa,2,5043,1206
AS_Baksa,3,20192,3676
AS_Baksa,4,25192,7502
AS_Baksa,5,18652,3414
AS_Baksa,6,59165,11520
AS_Baksa,7,146121,16939
AS_Barpeta,1,4199,180
AS_Barpeta,2,13761,2762
AS_Barpeta,3,51807,8466
AS_Barpeta,4,67487,23878
AS_Barpeta,5,33686,56781
AS_Barpeta,6,129776,26999
AS_Barpeta,7,229431,18144
AS_Biswanath,1,2000,60
AS_Biswanath,2,6932,1491
AS_Biswanath,3,12737,3277
AS_Biswanath,4,35036,9954
AS_Biswanath,5,29358,4071
AS_Biswanath,6,104861,9657
AS_Biswanath,7,154627,23919
AS_Bongaigaon,1,2385,198
AS_Bongaigaon,2,13987,1655
AS_Bongaigaon,3,19549,6732
AS_Bongaigaon,4,30456,14016
AS_Bongaigaon,5,22445,3286
AS_Bongaigaon,6,73486,11071
AS_Bongaigaon,7,122399,21781
AS_Cachar,1,7304,111
AS_Cachar,2,16572,4506
AS_Cachar,3,26829,9996
AS_Cachar,4,55020,16047
AS_Cachar,5,105628,9366
AS_Cachar,6,160850,21671
AS_Cachar,7,144865,41976
AS_Charaideo,1,1489,115
AS_Charaideo,2,3005,1131
AS_Charaideo,3,11749,2092
AS_Charaideo,4,20282,5884
AS_Charaideo,5,17431,1338
AS_Charaideo,6,44585,7943
AS_Charaideo,7,106214,13837
AS_Chirang,1,1263,71
AS_Chirang,2,7785,1129
AS_Chirang,3,5408,4739
AS_Chirang,4,19047,5821
AS_Chirang,5,14134,3412
AS_Chirang,6,44858,6357
AS_Chirang,7,66009,11938
AS_Darrang,1,3296,142
AS_Darrang,2,14851,2167
AS_Darrang,3,16115,5828
AS_Darrang,4,38158,13229
AS_Darrang,5,31025,4070
AS_Darrang,6,73606,8877
AS_Darrang,7,119874,25486
AS_Dhemaji,1,3174,127
AS_Dhemaji,2,7376,1769
AS_Dhemaji,3,21566,3746
AS_Dhemaji,4,35490,11767
AS_Dhemaji,5,25663,4189
AS_Dhemaji,6,89562,10125
AS_Dhemaji,7,109803,27266
AS_Dhubri,1,3627,274
AS_Dhubri,2,16336,2523
AS_Dhubri,3,33549,7179
AS_Dhubri,4,31887,18483
AS_Dhubri,5,21228,2531
AS_Dhubri,6,99103,18214
AS_Dhubri,7,134126,25640
AS_Dibrugarh,1,8590,341
AS_Dibrugarh,2,16911,6651
AS_Dibrugarh,3,42518,11527
AS_Dibrugarh,4,79431,17100
AS_Dibrugarh,5,88808,7061
AS_Dibrugarh,6,140503,38217
AS_Dibrugarh,7,209153,62908
AS_Dima Hasao,1,1100,123
AS_Dima Hasao,2,5366,723
AS_Dima Hasao,3,6117,2623
AS_Dima Hasao,4,12871,4278
AS_Dima Hasao,5,7501,2785
AS_Dima Hasao,6,36489,4894
AS_Dima Hasao,7,13106,6427
AS_Goalpara,1,4943,105
AS_Goalpara,2,9617,3101
AS_Goalpara,3,19651,4660
AS_Goalpara,4,31586,11639
AS_Goalpara,5,20817,2823
AS_Goalpara,6,85856,9198
AS_Goalpara,7,132079,23228
AS_Golaghat,1,4048,231
AS_Golaghat,2,12316,2631
AS_Golaghat,3,25188,6381
AS_Golaghat,4,44195,15662
AS_Golaghat,5,33089,2845
AS_Golaghat,6,147813,15866
AS_Golaghat,7,239877,47813
AS_Hailakandi,1,2935,66
AS_Hailakandi,2,6681,2073
AS_Hailakandi,3,15778,3315
AS_Hailakandi,4,25664,9021
AS_Hailakandi,5,26874,3746
AS_Hailakandi,6,68294,10993
AS_Hailakandi,7,103859,16545
AS_Hojai,1,2265,210
AS_Hojai,2,11691,1249
AS_Hojai,3,28351,3618
AS_Hojai,4,29245,14278
AS_Hojai,5,31162,13565
AS_Hojai,6,94209,17013
AS_Hojai,7,125363,20256
AS_Jorhat,1,4231,188
AS_Jorhat,2,14963,3001
AS_Jorhat,3,31541,6898
AS_Jorhat,4,53090,16659
AS_Jorhat,5,35729,7031
AS_Jorhat,6,119554,24603
AS_Jorhat,7,268020,43489
AS_Kamrup Metropolitan,1,13034,365
AS_Kamrup Metropolitan,2,34397,9346
AS_Kamrup Metropolitan,3,69569,18431
AS_Kamrup Metropolitan,4,196882,49530
AS_Kamrup Metropolitan,5,268984,29425
AS_Kamrup Metropolitan,6,262089,65517
AS_Kamrup Metropolitan,7,185159,152612
AS_Kamrup,1,5988,157
AS_Kamrup,2,15922,4293
AS_Kamrup,3,54503,8344
AS_Kamrup,4,100752,30297
AS_Kamrup,5,80705,9353
AS_Kamrup,6,89385,26942
AS_Kamrup,7,287964,70008
AS_Karbi Anglong,1,2317,86
AS_Karbi Anglong,2,8608,1396
AS_Karbi Anglong,3,15062,4159
AS_Karbi Anglong,4,19463,7572
AS_Karbi Anglong,5,16210,2663
AS_Karbi Anglong,6,38922,9853
AS_Karbi Anglong,7,53356,12323
AS_Karimganj,1,2889,46
AS_Karimganj,2,12081,1530
AS_Karimganj,3,22153,3522
AS_Karimganj,4,31893,15182
AS_Karimganj,5,30577,5011
AS_Karimganj,6,86052,13538
AS_Karimganj,7,107709,23508
AS_Kokrajhar,1,3499,137
AS_Kokrajhar,2,11588,2417
AS_Kokrajhar,3,12755,8432
AS_Kokrajhar,4,31915,7615
AS_Kokrajhar,5,21249,1481
AS_Kokrajhar,6,63639,8421
AS_Kokrajhar,7,127880,23684
AS_Lakhimpur,1,4883,277
AS_Lakhimpur,2,9796,2192
AS_Lakhimpur,3,23037,6355
AS_Lakhimpur,4,45359,17333
AS_Lakhimpur,5,31724,4356
AS_Lakhimpur,6,125246,11134
AS_Lakhimpur,7,208175,38177
AS_Majuli,1,1223,185
AS_Majuli,2,2438,722
AS_Majuli,3,10910,1568
AS_Majuli,4,14716,6552
AS_Majuli,5,11889,1442
AS_Majuli,6,32341,4718
AS_Majuli,7,30846,14100
AS_Morigaon,1,3811,144
AS_Morigaon,2,8621,1927
AS_Morigaon,3,24090,3587
AS_Morigaon,4,29184,10814
AS_Morigaon,5,27053,3415
AS_Morigaon,6,105434,11031
AS_Morigaon,7,164070,22805
AS_Nagaon,1,9016,288
AS_Nagaon,2,20473,5494
AS_Nagaon,3,47499,11467
AS_Nagaon,4,70350,20988
AS_Nagaon,5,77993,11461
AS_Nagaon,6,167683,27718
AS_Nagaon,7,234227,57418
AS_Nalbari,1,3549,226
AS_Nalbari,2,5727,2215
AS_Nalbari,3,16188,4224
AS_Nalbari,4,32823,7470
AS_Nalbari,5,27506,2898
AS_Nalbari,6,60887,10719
AS_Nalbari,7,130710,24631
AS_Sivasagar,1,3698,130
AS_Sivasagar,2,10327,2596
AS_Sivasagar,3,21169,5706
AS_Sivasagar,4,36530,12741
AS_Sivasagar,5,26715,4518
AS_Sivasagar,6,98668,16176
AS_Sivasagar,7,159183,25572
AS_Sonitpur,1,5436,107
AS_Sonitpur,2,15399,3367
AS_Sonitpur,3,28675,10542
AS_Sonitpur,4,69592,19659
AS_Sonitpur,5,50677,34411
AS_Sonitpur,6,191530,32479
AS_Sonitpur,7,221719,38601
AS_South Salmara Mankachar,1,561,36
AS_South Salmara Mankachar,2,1855,171
AS_South Salmara Mankachar,3,2889,836
AS_South Salmara Mankachar,4,3506,2047
AS_South Salmara Mankachar,5,11347,318
AS_South Salmara Mankachar,6,36431,1550
AS_South Salmara Mankachar,7,100397,3938
AS_Tinsukia,1,5051,180
AS_Tinsukia,2,11150,3328
AS_Tinsukia,3,34264,4942
AS_Tinsukia,4,38480,13929
AS_Tinsukia,5,73415,3401
AS_Tinsukia,6,113744,15886
AS_Tinsukia,7,136596,41616
AS_Udalguri,1,2508,86
AS_Udalguri,2,6204,1672
AS_Udalguri,3,17085,4995
AS_Udalguri,4,24213,8642
AS_Udalguri,5,22246,1727
AS_Udalguri,6,56390,6563
AS_Udalguri,7,102744,21727
AS_West Karbi Anglong,1,870,112
AS_West Karbi Anglong,2,3006,530
AS_West Karbi Anglong,3,5930,1473
AS_West Karbi Anglong,4,7324,4334
AS_West Karbi Anglong,5,6913,594
AS_West Karbi Anglong,6,25529,2309
AS_West Karbi Anglong,7,25862,4034
BR_Araria,1,9593,1
BR_Araria,2,19258,4885
BR_Araria,3,64550,5374
BR_Araria,4,59179,12760
BR_Araria,5,68103,7137
BR_Araria,6,143562,32400
BR_Araria,7,213162,42851
BR_Arwal,1,3951,205
BR_Arwal,2,3833,2709
BR_Arwal,3,22990,2503
BR_Arwal,4,10290,7114
BR_Arwal,5,19055,376
BR_Arwal,6,59715,7258
BR_Arwal,7,98266,8864
BR_Aurangabad,1,9014,145
BR_Aurangabad,2,11092,5789
BR_Aurangabad,3,53259,7319
BR_Aurangabad,4,52121,13716
BR_Aurangabad,5,80310,3889
BR_Aurangabad,6,157973,14375
BR_Aurangabad,7,186743,27342
BR_Banka,1,6777,50
BR_Banka,2,25543,3966
BR_Banka,3,77822,11738
BR_Banka,4,33486,21483
BR_Banka,5,52027,1254
BR_Banka,6,152853,13064
BR_Banka,7,149438,27555
BR_Begusarai,1,11691,612
BR_Begusarai,2,16789,8489
BR_Begusarai,3,128992,10628
BR_Begusarai,4,80105,29678
BR_Begusarai,5,88292,1260
BR_Begusarai,6,159503,20958
BR_Begusarai,7,242342,44226
BR_Bhagalpur,1,15500,789
BR_Bhagalpur,2,36696,9767
BR_Bhagalpur,3,122078,13325
BR_Bhagalpur,4,77140,33792
BR_Bhagalpur,5,124415,6176
BR_Bhagalpur,6,275200,45593
BR_Bhagalpur,7,255721,65061
BR_Bhojpur,1,10221,214
BR_Bhojpur,2,11363,6377
BR_Bhojpur,3,92061,6402
BR_Bhojpur,4,64787,30135
BR_Bhojpur,5,79620,1753
BR_Bhojpur,6,127473,17695
BR_Bhojpur,7,225100,39261
BR_Buxar,1,7000,100
BR_Buxar,2,13684,4640
BR_Buxar,3,65264,5382
BR_Buxar,4,40278,21114
BR_Buxar,5,57447,1516
BR_Buxar,6,97070,12712
BR_Buxar,7,141162,33194
BR_Darbhanga,1,18129,857
BR_Darbhanga,2,23874,12141
BR_Darbhanga,3,138757,11887
BR_Darbhanga,4,117900,51979
BR_Darbhanga,5,150753,2809
BR_Darbhanga,6,209320,39727
BR_Darbhanga,7,333090,69615
BR_East Champaran,1,20183,693
BR_East Champaran,2,15729,11017
BR_East Champaran,3,114102,8622
BR_East Champaran,4,151458,35651
BR_East Champaran,5,191879,4191
BR_East Champaran,6,310569,39008
BR_East Champaran,7,408663,113995
BR_Gaya,1,26227,506
BR_Gaya,2,27054,16864
BR_Gaya,3,147806,17503
BR_Gaya,4,81110,32408
BR_Gaya,5,120051,37248
BR_Gaya,6,282711,48751
BR_Gaya,7,287536,53551
BR_Gopalganj,1,9829,275
BR_Gopalganj,2,17292,6334
BR_Gopalganj,3,78692,7207
BR_Gopalganj,4,61201,24551
BR_Gopalganj,5,84179,2685
BR_Gopalganj,6,132474,9016
BR_Gopalganj,7,161096,37217
BR_Jamui,1,6872,90
BR_Jamui,2,16169,4671
BR_Jamui,3,62165,6536
BR_Jamui,4,36720,15589
BR_Jamui,5,51017,1463
BR_Jamui,6,95803,10113
BR_Jamui,7,125367,22162
BR_Jehanabad,1,5972,112
BR_Jehanabad,2,4138,3838
BR_Jehanabad,3,42710,3039
BR_Jehanabad,4,25720,8429
BR_Jehanabad,5,39342,2183
BR_Jehanabad,6,65593,16332
BR_Jehanabad,7,104862,20596
BR_Kaimur,1,6746,33
BR_Kaimur,2,8347,4164
BR_Kaimur,3,59209,3645
BR_Kaimur,4,34070,12507
BR_Kaimur,5,44735,1814
BR_Kaimur,6,76549,9094
BR_Kaimur,7,118797,15272
BR_Katihar,1,13529,503
BR_Katihar,2,14628,8795
BR_Katihar,3,65992,8216
BR_Katihar,4,55764,20965
BR_Katihar,5,98969,1213
BR_Katihar,6,165469,17907
BR_Katihar,7,223983,34074
BR_Khagaria,1,7361,370
BR_Khagaria,2,10135,4758
BR_Khagaria,3,49084,4758
BR_Khagaria,4,37719,12607
BR_Khagaria,5,41997,1217
BR_Khagaria,6,67760,9709
BR_Khagaria,7,164390,24837
BR_Kishanganj,1,8889,159
BR_Kishanganj,2,11091,5641
BR_Kishanganj,3,43787,6967
BR_Kishanganj,4,28711,14112
BR_Kishanganj,5,50013,661
BR_Kishanganj,6,86067,6056
BR_Kishanganj,7,114482,17578
BR_Lakhisarai,1,3866,157
BR_Lakhisarai,2,5546,2367
BR_Lakhisarai,3,24894,3300
BR_Lakhisarai,4,19257,7013
BR_Lakhisarai,5,26852,616
BR_Lakhisarai,6,58394,6635
BR_Lakhisarai,7,87942,14483
BR_Madhepura,1,9978,370
BR_Madhepura,2,13316,6172
BR_Madhepura,3,64365,5416
BR_Madhepura,4,51299,15294
BR_Madhepura,5,53099,1607
BR_Madhepura,6,73023,12174
BR_Madhepura,7,155445,30590
BR_Madhubani,1,15256,736
BR_Madhubani,2,32124,11484
BR_Madhubani,3,135551,13551
BR_Madhubani,4,111866,51037
BR_Madhubani,5,139388,1954
BR_Madhubani,6,234392,19932
BR_Madhubani,7,303133,92337
BR_Munger,1,8147,60
BR_Munger,2,8502,5348
BR_Munger,3,53721,5739
BR_Munger,4,29476,16972
BR_Munger,5,47663,775
BR_Munger,6,112086,14738
BR_Munger,7,130302,22391
BR_Muzaffarpur,1,21421,456
BR_Muzaffarpur,2,17446,13028
BR_Muzaffarpur,3,134762,8483
BR_Muzaffarpur,4,117104,35198
BR_Muzaffarpur,5,171145,5351
