districtid,overall,dose1,dose2
AN_Nicobars,1,22234,8326
AN_North and Middle Andaman,1,73655,31186
AN_South Andaman,1,163017,66862
AP_Anantapur,1,1678857,792184
AP_Chittoor,1,1935756,838472
AP_East Godavari,1,2251984,746178
AP_Guntur,1,2051799,768583
AP_Krishna,1,2089308,751054
AP_Kurnool,1,1526599,645147
AP_Prakasam,1,1442603,692321
AP_S.P.S. Nellore,1,1391127,670755
AP_Srikakulam,1,1220963,424235
AP_Visakhapatnam,1,2314158,815696
AP_Vizianagaram,1,1081378,359539
AP_West Godavari,1,1982988,628392
AP_Y.S.R. Kadapa,1,1237604,563326
AR_Anjaw,1,11175,2967
AR_Changlang,1,81359,21775
AR_Upper Dibang Valley,1,4000,1376
AR_East Kameng,1,21746,8134
AR_East Siang,1,51803,17675
AR_Papum Pare,1,99705,41334
AR_Kamle,1,6377,1754
AR_Kra Daadi,1,6123,2365
AR_Kurung Kumey,1,8672,3282
AR_Lepa Rada,1,13044,5500
AR_Lohit,1,29054,7879
AR_Longding,1,18204,3847
AR_Lower Dibang Valley,1,30802,9071
AR_Lower Siang,1,16047,5361
AR_Lower Subansiri,1,25543,10116
AR_Namsai,1,59467,15455
AR_Pakke Kessang,1,7794,3412
AR_Shi Yomi,1,6786,2663
AR_Siang,1,14110,4680
AR_Tawang,1,28446,12049
AR_Tirap,1,30669,7083
AR_Upper Siang,1,17627,6769
AR_Upper Subansiri,1,23924,9156
AR_West Kameng,1,53314,16527
AR_West Siang,1,32920,14074
AS_Baksa,1,371756,52592
AS_Barpeta,1,683549,168453
AS_Biswanath,1,384896,72964
AS_Bongaigaon,1,369779,70793
AS_Cachar,1,633577,127542
AS_Charaideo,1,240400,39618
AS_Chirang,1,205498,39532
AS_Darrang,1,395654,75294
AS_Dhemaji,1,350708,79087
AS_Dhubri,1,472662,85053
AS_Dibrugarh,1,716871,180352
AS_Dima Hasao,1,88493,25646
AS_Goalpara,1,396855,66818
AS_Golaghat,1,579371,108394
AS_Hailakandi,1,334702,58538
AS_Hojai,1,442941,85792
AS_Jorhat,1,609267,117911
AS_Kamrup Metropolitan,1,1116997,445210
AS_Kamrup,1,787264,196244
AS_Karbi Anglong,1,176565,45748
AS_Karimganj,1,386388,77614
AS_Kokrajhar,1,350526,63492
AS_Lakhimpur,1,553697,99615
AS_Majuli,1,111228,34099
AS_Morigaon,1,428690,70289
AS_Nagaon,1,794380,160022
AS_Nalbari,1,356028,66372
