districtid,wave1_weeekid,wave2_weekid,wave1_monthid,wave2_monthid
AP_Anantapur,40,122,4,13
AP_Chittoor,49,123,5,13
AP_East Godavari,52,123,5,13
AP_Guntur,39,118,4,12
AP_Krishna,58,123,6,13
AP_Kurnool,41,118,4,12
AP_Prakasam,50,118,5,13
AP_S.P.S. Nellore,50,120,5,12
AP_Srikakulam,48,118,5,12
AP_Visakhapatnam,40,120,4,12
AP_West Godavari,51,123,5,13
AP_Y.S.R. Kadapa,49,121,5,13
AR_Lohit,63,141,7,8
BR_Arwal,43,117,4,12
BR_Aurangabad,44,116,5,12
BR_Banka,41,118,4,12
BR_Begusarai,42,117,4,12
BR_Bhagalpur,42,116,4,12
BR_Bhojpur,38,115,4,12
BR_Buxar,42,116,4,12
BR_East Champaran,43,120,4,12
BR_Gaya,43,117,4,12
BR_Gopalganj,42,118,5,12
BR_Jehanabad,43,116,4,12
BR_Kaimur,43,116,4,12
BR_Lakhisarai,42,116,5,12
BR_Madhepura,43,118,5,12
BR_Munger,42,120,4,12
BR_Nalanda,39,118,4,12
BR_Nawada,39,117,4,12
BR_Patna,42,118,4,12
BR_Rohtas,42,116,4,12
BR_Saran,42,116,4,12
BR_Siwan,35,119,4,12
BR_Vaishali,42,119,4,12
CH_Chandigarh,52,120,5,12
CT_Bilaspur,52,116,6,12
CT_Durg,54,111,6,12
CT_Korba,60,118,7,12
CT_Raipur,53,113,5,12
CT_Rajnandgaon,52,113,6,12
DL_Delhi,69,115,7,12
GJ_Ahmedabad,12,116,2,12
GJ_Anand,73,121,8,12
GJ_Aravalli,67,120,8,12
GJ_Banaskantha,71,116,8,12
GJ_Bharuch,57,114,5,12
GJ_Bhavnagar,48,118,5,12
GJ_Botad,40,114,4,8
GJ_Chhota Udaipur,48,119,5,12
GJ_Dahod,39,117,4,12
GJ_Dang,48,76,5,8
GJ_Gandhinagar,72,117,8,12
GJ_Gir Somnath,42,120,4,12
GJ_Jamnagar,53,118,6,12
