state,weekid,dose1,dose2
Andaman and Nicobar Islands,1,3242,0
Andaman and Nicobar Islands,2,17993,0
Andaman and Nicobar Islands,3,10893,0
Andaman and Nicobar Islands,4,29275,334
Andaman and Nicobar Islands,5,19365,11080
Andaman and Nicobar Islands,6,7214,9588
Andaman and Nicobar Islands,7,18629,7932
Andaman and Nicobar Islands,8,25927,18620
Andaman and Nicobar Islands,9,116361,19131
Andaman and Nicobar Islands,10,303750,8267
Andaman and Nicobar Islands,11,83174,3923
Andaman and Nicobar Islands,12,85000,12390
Andaman and Nicobar Islands,13,45278,22711
Andaman and Nicobar Islands,14,54367,77270
Andaman and Nicobar Islands,15,86924,162825
Andaman and Nicobar Islands,16,45448,111604
Andaman and Nicobar Islands,17,32583,40986
Andaman and Nicobar Islands,18,59022,334
Andaman and Nicobar Islands,19,36084,578
Andaman and Nicobar Islands,20,46963,471
Andaman and Nicobar Islands,21,19783,4493
Andaman and Nicobar Islands,22,236415,24532
Andaman and Nicobar Islands,23,510210,36598
Andaman and Nicobar Islands,24,104894,40919
Andaman and Nicobar Islands,25,59108,32856
Andaman and Nicobar Islands,26,82326,44761
Andaman and Nicobar Islands,27,69473,49589
Andaman and Nicobar Islands,28,150211,43390
Andaman and Nicobar Islands,29,45271,14927
Andaman and Nicobar Islands,30,28407,26677
Andaman and Nicobar Islands,31,12033,19823
Andaman and Nicobar Islands,32,12105,31805
Andhra Pradesh,1,3242,0
Andhra Pradesh,2,17993,0
Andhra Pradesh,3,10893,0
Andhra Pradesh,4,29275,334
Andhra Pradesh,5,19365,11080
Andhra Pradesh,6,7214,9588
Andhra Pradesh,7,18629,7932
Andhra Pradesh,8,25927,18620
Andhra Pradesh,9,116361,19131
Andhra Pradesh,10,303750,8267
Andhra Pradesh,11,83174,3923
Andhra Pradesh,12,85000,12390
Andhra Pradesh,13,45278,22711
Andhra Pradesh,14,54367,77270
Andhra Pradesh,15,86924,162825
Andhra Pradesh,16,45448,111604
Andhra Pradesh,17,32583,40986
Andhra Pradesh,18,59022,334
Andhra Pradesh,19,36084,578
Andhra Pradesh,20,46963,471
Andhra Pradesh,21,19783,4493
Andhra Pradesh,22,236415,24532
Andhra Pradesh,23,510210,36598
Andhra Pradesh,24,104894,40919
Andhra Pradesh,25,59108,32856
Andhra Pradesh,26,82326,44761
Andhra Pradesh,27,69473,49589
Andhra Pradesh,28,150211,43390
Andhra Pradesh,29,45271,14927
Andhra Pradesh,30,28407,26677
Andhra Pradesh,31,12033,19823
Andhra Pradesh,32,12105,31805
Arunachal Pradesh,1,3242,0
Arunachal Pradesh,2,17993,0
Arunachal Pradesh,3,10893,0
Arunachal Pradesh,4,29275,334
Arunachal Pradesh,5,19365,11080
Arunachal Pradesh,6,7214,9588
Arunachal Pradesh,7,18629,7932
Arunachal Pradesh,8,25927,18620
Arunachal Pradesh,9,116361,19131
Arunachal Pradesh,10,303750,8267
Arunachal Pradesh,11,83174,3923
Arunachal Pradesh,12,85000,12390
Arunachal Pradesh,13,45278,22711
Arunachal Pradesh,14,54367,77270
Arunachal Pradesh,15,86924,162825
Arunachal Pradesh,16,45448,111604
Arunachal Pradesh,17,32583,40986
Arunachal Pradesh,18,59022,334
Arunachal Pradesh,19,36084,578
Arunachal Pradesh,20,46963,471
Arunachal Pradesh,21,19783,4493
Arunachal Pradesh,22,236415,24532
Arunachal Pradesh,23,510210,36598
Arunachal Pradesh,24,104894,40919
Arunachal Pradesh,25,59108,32856
Arunachal Pradesh,26,82326,44761
Arunachal Pradesh,27,69473,49589
Arunachal Pradesh,28,150211,43390
Arunachal Pradesh,29,45271,14927
Arunachal Pradesh,30,28407,26677
Arunachal Pradesh,31,12033,19823
Arunachal Pradesh,32,12105,31805
Assam,1,3242,0
Assam,2,17993,0
Assam,3,10893,0
Assam,4,29275,334
Assam,5,19365,11080
Assam,6,7214,9588
Assam,7,18629,7932
Assam,8,25927,18620
Assam,9,116361,19131
Assam,10,303750,8267
Assam,11,83174,3923
Assam,12,85000,12390
Assam,13,45278,22711
Assam,14,54367,77270
Assam,15,86924,162825
Assam,16,45448,111604
